Price,temp
3.25,2.3
3.249,2.7
3.253,3.5
3.057,3.4
3.062,3.4
3.072,3.5
3.241,3.1
3.085,3
3.112,2.7
3.248,2.6
3.272,2.5
3.216,2.8
3.114,2.9
3.086,2.6
3.039,2.7
2.944,1.5
2.76,1.6
2.72,1.5
2.638,1.7
2.552,1.8
2.865,1.6
3.099,1.7
3.389,1.4
3.507,1.6
3.525,2
3.468,2.3
3.24,2.4
3.402,2.9
3.299,2.5
3.099,2.9
3.144,2.4
3.15,2.4
3.288,1.3
3.621,0.6
3.888,0.2
3.24,0.2
3.213,0.5
3.168,0.6
3.116,0.7
2.97,0.8
2.973,1.3
2.931,1.4
2.651,1.5
2.655,1.7
2.828,1.6
3.012,1.9
3.237,1.6
3.378,1.8
3.438,1.8
3.294,2
3.342,2.2
3.334,2.3
3.236,1.9
3.235,2.1
3.174,2.1
3.135,2.2
3.176,1.9
3.359,1.9
3.706,1.8
3.236,1.7
3.118,1.5
3.047,1.5
2.925,1.9
2.714,1.7
2.753,1.6
2.647,1.2
2.603,1.4
2.813,1.4
2.992,1.3
3.079,1.2
3.26,1.1
3.707,1.3
3.788,1.3
3.852,1.5
3.776,1.6
3.708,1.4
3.696,1.7
3.474,1.5
3.277,1.2
3.254,0.9
3.366,0.6
3.885,0.5
4.117,0.6
3.283,0.4
3.198,0.4
3.173,0.7
3.133,0.6
3.087,-0.4
3.136,-0.5
3.032,-0.7
3.004,-0.7
2.861,-0.4
2.826,-0.7
2.922,-0.8
2.816,-0.8
2.986,-0.8
3.098,-0.5
3.146,0.5
3.157,0.5
3.115,-0.5
3.091,-0.3
3.068,-0.6
3.011,-0.8
2.993,-1.3
3.065,-1.9
3.113,-2.6
3.166,-2.8
3.101,-3.2
3.076,-3.8
3.058,-4.5
2.956,-5
2.613,-5.3
2.604,-5.4
2.502,-5.7
2.434,-5.9
2.429,-6.2
2.436,-6.6
2.466,-6.5
2.441,-6.2
2.547,-5
2.792,-4.4
2.979,-3.3
2.917,-2.2
2.915,-1.3
2.896,-0.7
2.871,-0.5
2.831,-0.5
2.856,-0.7
2.946,-1.4
3.08,-1.9
3.285,-2.5
3.336,-3.1
3.245,-3.5
3.18,-4.1
3.13,-4.5
3.066,-4.9
3.04,-5.1
2.904,-5.6
2.799,-6.3
2.658,-6.7
2.85,-7
3.882,-7.3
4.484,-7.1
5.562,-6
4.851,-4.5
4.485,-3.2
4.109,-2.3
4.088,-1.5
4.136,-1.1
3.941,-0.8
3.552,-0.8
3.295,-1
3.395,-1.5
4.009,-2.2
4.188,-2.6
3.495,-3
3.276,-3.5
3.238,-3.8
3.179,-4.2
3.116,-4.5
3.107,-4.8
3.001,-4.7
2.999,-4.6
2.964,-4.2
3.107,-3.9
3.252,-3.8
3.6,-3.4
4.858,-2.9
5.266,-2.6
5.237,-2.5
5.221,-2.2
4.997,-2.4
4.735,-2.3
4.732,-2.2
4.613,-2
4.319,-1.3
4.209,-1.1
4.91,-1.4
5.614,-1.5
4.775,-0.8
3.919,-0.6
3.708,-1.1
3.497,-1.3
3.284,-1.1
3.251,-0.6
3.198,-0.4
3.155,-0.2
3.138,-0.1
3.12,0.1
3.206,0.3
3.5,0.6
4.157,0.8
4.453,1
4.033,0.8
3.615,1
3.418,1.3
3.334,1.4
3.284,1.1
3.28,1.2
3.262,1.1
3.254,0.7
3.294,0.7
3.372,0.6
3.324,0.5
3.267,0.3
3.185,-0.1
3.137,0.1
2.897,0.1
2.992,0.3
2.982,0.4
2.906,0.3
2.93,0.4
2.928,0.6
3.112,0.5
3.298,0.7
3.421,1
3.596,1.2
3.458,1.6
3.422,1.7
3.356,2.1
3.319,2.3
3.291,2.5
3.269,2.3
3.269,1.6
3.276,1.6
3.33,2.1
3.386,2.2
3.286,1.9
3.232,1.9
3.227,2.5
3.111,1.2
2.924,1.5
2.863,1.4
2.804,1
2.744,0.7
2.765,0.2
2.962,-1.1
3.042,-0.5
3.248,0.4
3.522,1.5
3.55,2.1
3.543,3.1
3.502,5.1
3.522,3.9
3.264,2.9
3.266,2.2
3.315,2.6
3.248,2
3.245,1.8
3.477,1.3
3.663,1.2
3.333,1.3
3.246,1.1
3.234,1.1
3.221,1.2
3.192,1.2
3.116,1.1
3.049,1.2
3.013,1
2.964,1.1
2.907,1.1
3,1
3.101,1.3
3.126,1.6
3.169,2.4
3.236,3.6
3.221,4.3
3.141,5.3
3.107,5.2
3.019,5.3
2.985,4.6
2.998,4.7
3.081,3.5
